Filtro;tweet_id,sentiment,content;
X;1956967341,vazio,@tiffanylue eu sei que estava ouvindo o mau hábito mais cedo e comecei a enlouquecer na parte dele =[;
X;1956967666,tristeza,Deitado na cama com dor de cabeça uiiiiii... esperando sua ligação...;
X;1956967696,tristeza,Cerimônia fúnebre... sexta-feira sombria...;
X;1956967789,entusiasmo,quer sair com os amigos EM BREVE!;
X;"1956968416,neutro,""@dannycastillo Queremos negociar com alguém que tenha ingressos para o Corinthians, mas ninguém o fará.""";
X;1956968477,preocupação,Re-pingando @ghostridah14: por que você não foi ao baile? Porque meu namorado não gostava dos meus amigos;
X;"1956968487,tristeza,""Eu deveria estar dormindo, mas não estou! pensando em um velho amigo que eu quero. mas ele é casado agora. Droga";"ele me quer também! incrível!"""
X;1956968636,preocupação,Hmmm. http://www.djhero.com/ está fora do ar;
X;1956969035,tristeza,@charviray Charlene meu amor. Eu sinto sua falta;
X;1956969172,tristeza,@kelcouch Desculpe, pelo menos é sexta-feira?;
X;1956969456,neutro,não consigo dormir;
X;1956970047,tristeza,Eca! Eu tenho que vencer essa música estúpida para chegar à próximo rodada!;
X;1956970424,tristeza,@BrodyJenner se você assistir as colinas em londres, você vai perceber o que é tortura, porque com semanas e semanas de atraso eu assisto online kkk;
X;1956970860,surpresa,Recebi as notícias;
X;1956971077,tristeza,A tempestade chegou e a eletricidade se foi;
X;1956971170,amor,@annarosekerr de acordo;
X;1956971206,tristeza,Tão sonolento de novo e nem é tão tarde. Eu falhei mais uma vez.;
X;1956971473,preocupação,@PerezHilton Lady Gaga twittou sobre não ficar impressionada com seu vídeo vazando só para você saber;
X;1956971981,preocupação,@raaaaaaek ai que pena! Eu espero que fique melhor. Eu tenho tido problemas de sono ultimamente também;
X;"1956972097,alegria,""Me perguntando por que estou acordado às 7 da manhã, escrevendo uma nova música, tramando meus planos secretos malignos muahahaha... ah, droga, não é mais segredo""";
X;1956974706,ódio,É tão chato quando ela começa a digitar no computador no meio da noite!;
X;1956975876,neutro,sente contrações fortes, mas quer sair. http://plurk.com/p/wxidk;
X;1956976557,neutro,tem trabalho esta tarde;
X;1956976681,neutro,@GABBYiSACTiVE Ah, você não deixaria de me seguir, não é? Então eu iria chorar;
